# CMD: CUDA_VISIBLE_DEVICES=3 PYTHONPATH=/home/bong/analog_stress_test/analog-training SEED=2 python NeurIPS-2025/S2-mnist-FCN.py --CUDA 0 --SETTING Analog SGD --RPU Pow --tau 0.7 --res-gamma 8.0 --res-state 140
[2026-05-20 14:22:50,630] Epoch 0 - Training loss: --------   Test Accuracy: 0.1005
[2026-05-20 14:23:33,739] Epoch 1 - Training loss: 2.303282   Test Accuracy: 0.1135
[2026-05-20 14:24:23,889] Epoch 2 - Training loss: 2.302453   Test Accuracy: 0.1135
[2026-05-20 14:25:07,600] Epoch 3 - Training loss: 2.302455   Test Accuracy: 0.1135
[2026-05-20 14:25:54,990] Epoch 4 - Training loss: 2.302301   Test Accuracy: 0.1135
[2026-05-20 14:26:40,136] Epoch 5 - Training loss: 2.302403   Test Accuracy: 0.1135
[2026-05-20 14:27:25,017] Epoch 6 - Training loss: 2.302506   Test Accuracy: 0.1135
[2026-05-20 14:28:11,909] Epoch 7 - Training loss: 2.302280   Test Accuracy: 0.1135
[2026-05-20 14:28:58,788] Epoch 8 - Training loss: 2.302426   Test Accuracy: 0.1135
[2026-05-20 14:29:40,347] Epoch 9 - Training loss: 2.302448   Test Accuracy: 0.1135
[2026-05-20 14:30:24,626] Epoch 10 - Training loss: 2.302426   Test Accuracy: 0.1135
[2026-05-20 14:31:09,098] Epoch 11 - Training loss: 2.302434   Test Accuracy: 0.1135
[2026-05-20 14:31:48,556] Epoch 12 - Training loss: 2.302414   Test Accuracy: 0.1135
[2026-05-20 14:32:30,529] Epoch 13 - Training loss: 2.302319   Test Accuracy: 0.1135
[2026-05-20 14:33:15,004] Epoch 14 - Training loss: 2.302305   Test Accuracy: 0.1135
[2026-05-20 14:33:59,261] Epoch 15 - Training loss: 2.302341   Test Accuracy: 0.1010
[2026-05-20 14:34:43,598] Epoch 16 - Training loss: 2.301811   Test Accuracy: 0.1028
[2026-05-20 14:35:28,071] Epoch 17 - Training loss: 2.301777   Test Accuracy: 0.1135
[2026-05-20 14:36:12,456] Epoch 18 - Training loss: 2.301829   Test Accuracy: 0.1135
[2026-05-20 14:37:02,100] Epoch 19 - Training loss: 2.301862   Test Accuracy: 0.1135
[2026-05-20 14:37:48,322] Epoch 20 - Training loss: 2.301788   Test Accuracy: 0.1135
[2026-05-20 14:38:31,339] Epoch 21 - Training loss: 2.301667   Test Accuracy: 0.1135
[2026-05-20 14:39:20,968] Epoch 22 - Training loss: 2.301778   Test Accuracy: 0.1028
[2026-05-20 14:40:11,214] Epoch 23 - Training loss: 2.301758   Test Accuracy: 0.1112
[2026-05-20 14:40:57,350] Epoch 24 - Training loss: 2.301810   Test Accuracy: 0.1135
[2026-05-20 14:41:51,718] Epoch 25 - Training loss: 2.301760   Test Accuracy: 0.1135
[2026-05-20 14:42:41,666] Epoch 26 - Training loss: 2.301818   Test Accuracy: 0.1135
[2026-05-20 14:43:27,064] Epoch 27 - Training loss: 2.301751   Test Accuracy: 0.1135
[2026-05-20 14:44:17,489] Epoch 28 - Training loss: 2.301772   Test Accuracy: 0.1135
[2026-05-20 14:45:05,361] Epoch 29 - Training loss: 2.301827   Test Accuracy: 0.1135
[2026-05-20 14:45:51,016] Epoch 30 - Training loss: 2.301815   Test Accuracy: 0.1135
aihwkit path:  /home/bong/analog_stress_test/aihwkit-fork/src/aihwkit/__init__.py
NeurIPS-2025/S2-mnist-FCN.py --CUDA 0 --SETTING Analog SGD --RPU Pow --tau 0.7 --res-gamma 8.0 --res-state 140
Using Device:  cuda:0
Logging to file: runs/MNIST-FCN/Pow-gamma=8.0-state=140/Analog SGD-tau=0.7/events.out.tfevents.1779254565.user.2316444.0

Training Time (s) = 1383.6252365112305
