# CMD: CUDA_VISIBLE_DEVICES=2 PYTHONPATH=/home/bong/analog_stress_test/analog-training SEED=1 python NeurIPS-2025/S2-mnist-CNN.py --CUDA 0 --SETTING Analog SGD --RPU HfO2
[2026-05-25 16:16:09,971] Epoch 0 - Training loss: --------   Test Accuracy: 0.1318
[2026-05-25 16:17:23,312] Epoch 1 - Training loss: 2.313702   Test Accuracy: 0.0974
[2026-05-25 16:18:33,726] Epoch 2 - Training loss: 2.307484   Test Accuracy: 0.1137
[2026-05-25 16:19:45,538] Epoch 3 - Training loss: 2.306037   Test Accuracy: 0.1135
[2026-05-25 16:20:55,371] Epoch 4 - Training loss: 2.325319   Test Accuracy: 0.1028
[2026-05-25 16:22:05,197] Epoch 5 - Training loss: 2.360010   Test Accuracy: 0.1038
[2026-05-25 16:23:12,022] Epoch 6 - Training loss: 2.401000   Test Accuracy: 0.1026
[2026-05-25 16:24:21,747] Epoch 7 - Training loss: 2.395739   Test Accuracy: 0.1010
[2026-05-25 16:25:37,330] Epoch 8 - Training loss: 2.396564   Test Accuracy: 0.1135
[2026-05-25 16:26:45,235] Epoch 9 - Training loss: 2.399743   Test Accuracy: 0.1135
[2026-05-25 16:27:59,355] Epoch 10 - Training loss: 2.412219   Test Accuracy: 0.0958
[2026-05-25 16:29:08,019] Epoch 11 - Training loss: 2.386524   Test Accuracy: 0.0958
[2026-05-25 16:30:14,344] Epoch 12 - Training loss: 2.387740   Test Accuracy: 0.1135
[2026-05-25 16:31:22,371] Epoch 13 - Training loss: 2.381377   Test Accuracy: 0.0980
[2026-05-25 16:32:33,274] Epoch 14 - Training loss: 2.395700   Test Accuracy: 0.1010
[2026-05-25 16:33:41,439] Epoch 15 - Training loss: 2.401058   Test Accuracy: 0.0982
[2026-05-25 16:34:49,990] Epoch 16 - Training loss: 2.417158   Test Accuracy: 0.0982
[2026-05-25 16:36:00,301] Epoch 17 - Training loss: 2.398880   Test Accuracy: 0.0977
[2026-05-25 16:37:05,147] Epoch 18 - Training loss: 2.409169   Test Accuracy: 0.1009
[2026-05-25 16:38:16,893] Epoch 19 - Training loss: 2.404279   Test Accuracy: 0.1010
[2026-05-25 16:39:25,312] Epoch 20 - Training loss: 2.395719   Test Accuracy: 0.1135
[2026-05-25 16:40:32,428] Epoch 21 - Training loss: 2.388786   Test Accuracy: 0.1135
[2026-05-25 16:41:43,509] Epoch 22 - Training loss: 2.375993   Test Accuracy: 0.1135
[2026-05-25 16:42:53,378] Epoch 23 - Training loss: 2.378582   Test Accuracy: 0.1028
[2026-05-25 16:44:04,384] Epoch 24 - Training loss: 2.382049   Test Accuracy: 0.0982
[2026-05-25 16:45:18,883] Epoch 25 - Training loss: 2.390628   Test Accuracy: 0.1135
[2026-05-25 16:46:30,455] Epoch 26 - Training loss: 2.369992   Test Accuracy: 0.1017
[2026-05-25 16:47:38,957] Epoch 27 - Training loss: 2.395374   Test Accuracy: 0.1028
[2026-05-25 16:48:46,822] Epoch 28 - Training loss: 2.387487   Test Accuracy: 0.1010
[2026-05-25 16:49:56,985] Epoch 29 - Training loss: 2.408539   Test Accuracy: 0.0974
[2026-05-25 16:51:04,331] Epoch 30 - Training loss: 2.386078   Test Accuracy: 0.1028
aihwkit path:  /home/bong/analog_stress_test/aihwkit-fork/src/aihwkit/__init__.py
NeurIPS-2025/S2-mnist-CNN.py --CUDA 0 --SETTING Analog SGD --RPU HfO2
Using Device:  cuda:0
Logging to file: runs/MNIST-CNN/HfO2/Analog SGD-tau=1/events.out.tfevents.1779693363.user.616578.0

Training Time (s) = 2098.4795196056366
