# CMD: CUDA_VISIBLE_DEVICES=3 PYTHONPATH=/home/bong/analog_stress_test/analog-training SEED=2 python NeurIPS-2025/S2-mnist-FCN.py --CUDA 0 --SETTING Analog SGD --RPU Pow --tau 0.7 --res-gamma 8.0 --res-state 140
[2026-05-24 18:38:46,505] Epoch 0 - Training loss: --------   Test Accuracy: 0.1009
[2026-05-24 18:39:34,014] Epoch 1 - Training loss: 2.303228   Test Accuracy: 0.1135
[2026-05-24 18:40:19,959] Epoch 2 - Training loss: 2.302454   Test Accuracy: 0.1135
[2026-05-24 18:41:08,951] Epoch 3 - Training loss: 2.302455   Test Accuracy: 0.1135
[2026-05-24 18:41:59,885] Epoch 4 - Training loss: 2.302301   Test Accuracy: 0.1135
[2026-05-24 18:42:49,350] Epoch 5 - Training loss: 2.302402   Test Accuracy: 0.1135
[2026-05-24 18:43:35,276] Epoch 6 - Training loss: 2.302507   Test Accuracy: 0.1135
[2026-05-24 18:44:24,619] Epoch 7 - Training loss: 2.302281   Test Accuracy: 0.1135
[2026-05-24 18:45:17,816] Epoch 8 - Training loss: 2.302426   Test Accuracy: 0.1135
[2026-05-24 18:46:03,943] Epoch 9 - Training loss: 2.302449   Test Accuracy: 0.1135
[2026-05-24 18:46:42,847] Epoch 10 - Training loss: 2.302426   Test Accuracy: 0.1135
[2026-05-24 18:47:25,850] Epoch 11 - Training loss: 2.302434   Test Accuracy: 0.1135
[2026-05-24 18:48:06,756] Epoch 12 - Training loss: 2.302415   Test Accuracy: 0.1135
[2026-05-24 18:48:42,588] Epoch 13 - Training loss: 2.302318   Test Accuracy: 0.1135
[2026-05-24 18:49:25,817] Epoch 14 - Training loss: 2.302308   Test Accuracy: 0.1135
[2026-05-24 18:50:11,487] Epoch 15 - Training loss: 2.302340   Test Accuracy: 0.1010
[2026-05-24 18:50:55,941] Epoch 16 - Training loss: 2.301812   Test Accuracy: 0.1028
[2026-05-24 18:51:43,907] Epoch 17 - Training loss: 2.301778   Test Accuracy: 0.1135
[2026-05-24 18:52:28,336] Epoch 18 - Training loss: 2.301830   Test Accuracy: 0.1135
[2026-05-24 18:53:19,768] Epoch 19 - Training loss: 2.301863   Test Accuracy: 0.1135
[2026-05-24 18:54:14,498] Epoch 20 - Training loss: 2.301789   Test Accuracy: 0.1135
[2026-05-24 18:55:03,240] Epoch 21 - Training loss: 2.301667   Test Accuracy: 0.1135
[2026-05-24 18:55:51,058] Epoch 22 - Training loss: 2.301777   Test Accuracy: 0.1028
[2026-05-24 18:56:36,138] Epoch 23 - Training loss: 2.301758   Test Accuracy: 0.1112
[2026-05-24 18:57:23,544] Epoch 24 - Training loss: 2.301809   Test Accuracy: 0.1135
[2026-05-24 18:58:08,303] Epoch 25 - Training loss: 2.301759   Test Accuracy: 0.1136
[2026-05-24 18:58:52,954] Epoch 26 - Training loss: 2.301818   Test Accuracy: 0.1135
[2026-05-24 18:59:39,925] Epoch 27 - Training loss: 2.301750   Test Accuracy: 0.1135
[2026-05-24 19:00:24,927] Epoch 28 - Training loss: 2.301771   Test Accuracy: 0.1135
[2026-05-24 19:01:13,173] Epoch 29 - Training loss: 2.301827   Test Accuracy: 0.1135
[2026-05-24 19:01:57,427] Epoch 30 - Training loss: 2.301814   Test Accuracy: 0.1135
aihwkit path:  /home/bong/analog_stress_test/aihwkit-fork/src/aihwkit/__init__.py
NeurIPS-2025/S2-mnist-FCN.py --CUDA 0 --SETTING Analog SGD --RPU Pow --tau 0.7 --res-gamma 8.0 --res-state 140
Using Device:  cuda:0
Logging to file: runs/MNIST-FCN/Pow-gamma=8.0-state=140/Analog SGD-tau=0.7/events.out.tfevents.1779615521.user.483691.0

Training Time (s) = 1394.13520693779
